id,weeklong_id,user_id,player_code,type,status,poisoned,points,kills,starve_date
356,5,551,9739e,inactive,deceased,0,0,0,"2019-11-14 14:00:08"
357,5,552,2eb2e,inactive,deceased,0,0,0,"2019-11-14 14:00:08"
358,5,553,4bf68,inactive,deceased,0,0,0,"2019-11-13 15:16:32"
359,5,554,df701,inactive,deceased,0,0,0,"2019-11-13 15:59:33"
360,5,555,a563e,inactive,deceased,0,0,0,"2019-11-13 17:02:51"
361,5,324,744a3,inactive,deceased,0,0,0,"2019-11-13 17:04:45"
362,5,556,98b9b,normal,zombie,0,103,0,"2019-11-16 21:38:05"
363,5,557,83f45,inactive,deceased,0,0,0,"2019-11-13 17:49:25"
364,5,558,04f45,inactive,deceased,0,0,0,"2019-11-13 18:34:17"
365,5,296,0355d,normal,zombie,0,80,0,"2019-11-16 03:58:25"
366,5,561,5c70d,inactive,deceased,0,0,0,"2019-11-13 19:19:38"
367,5,562,bb556,inactive,deceased,0,0,0,"2019-11-13 20:57:27"
368,6,1,6ab20,oz,zombie,0,110,1,"2020-03-14 16:43:42"
369,6,586,16e8d,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
370,6,587,00ff1,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
371,6,133,b72ad,normal,deceased,0,8,0,"2020-03-12 13:01:26"
372,6,588,27fbf,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
373,6,589,82ec2,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
374,6,590,1007a,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
375,6,239,a52be,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
376,6,591,0645c,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
377,6,556,7c752,starved,zombie,0,42,0,"2020-03-14 10:20:28"
378,6,592,0757a,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
379,6,375,d7bb8,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
380,6,593,f5d0b,inactive,deceased,0,0,0,"2020-03-11 13:01:26"
